dataset_name,sample_id,text
multivariant-v2-custom,27,"{Здорово | Здарова | Здорова | Здарово | Дарова} , чуваки! На связи, как обычно, Антон. Ну что, время пострелять между нами, Пальба! Па па па {па} . Ой. Да ладно вам, конечно, вы не ошиблись каналом. И это не выпуск шоу Голос, а очередная крутейшая подборка топовых пушек {LEGO | Лего} . Я такие модели вам сегодня покажу, что вы просто офигеете! Не хочу спойлерить, но если вы досмотрите этот ролик до конца, то увидите в нём балдёжный пистолет из {киберпанка | Cyberpunk<а>} , пуху из {КС|CS} и ещё много всего интересного. Так что скорее хватайте что-нибудь похрустеть, не забывайте про конкурс в конце видео на {тысячу рублей|1000 рублей|1,000 рублей|1000 р|1,000 р|1000 ₽|1,000 ₽|1000₽|1,000₽} и выезжаем! И начну я ребятки с потрясного пистолета из игры {Wolfenstein | Вольфенштейн} . Он был сделан под золото с красивой деревянной ручкой. У пестика, хоть это и {LEGO | Лего} моделька, красиво проработаны все элементы, включая даже ручку. Вон какой клёвый узор у неё сбоку. Оружие является декоративным. Да, с ним можно было бы побегать по улице и пострелять в друзей, но блин, лично мне такого красавца вообще не хочется подвергать никаким испытаниям. Пускай стоит себе на подставке и радует своего создателя каждый день. Следующей на очереди будет копия одного из самых распространённых многозарядных ружей, которое впервые было выпущено в далёком {1961 | тысяча девятьсот шестьдесят первом} {году|г} . Я сейчас говорю про {Мосберг|Мосcберг|Mossberg} {500 | пятьсот} . В наше время он выпускается в различных модификациях, предназначенных как для охоты, так и для полиции, охранников и даже самообороны. Честно признаться, не уверен какая именно модель попалась нам в качестве {LEGO | Лего} , но определённо она получилась на славу. Я посмотрел на картинки настоящей пушки, потом на нашу и понял, что отличить её при правильной подаче и освещении будет практически нереально. К тому же, все элементы здесь запросто вытаскиваются, перезаряжаются, меняются и так далее. А теперь я покажу вам такое, что реально поразит каждого фаната вселенной {Marvel | Марвел} . Эта вещица была полностью вручную собрана из разных деталек {LEGO | Лего} , а её вес вышел на {2,5 | два с половиной} {килограмма | кг} . Встречайте, настоящая рука Железного Человека! Блин, я и подумать не мог, что {LEGO | Лего} приколюхи и до такого дойдут. Вы только зацените, она ведь реально может двигаться, то есть не сковывать ваши движения. С такой игрушкой, наверное, можно создать изумительный косплей на всего персонажа и удивлять каждого прохожего. Идея создать подобный инструмент действительно оригинальная <*>"
multivariant-v2-custom,20,"Здравствуйте, меня зовут Вячеслав <*>, {а} вы на канале "" {Коллеги | Коллегия} адвокатов"". Здесь мы рассказываем об изменениях в законодательстве, {в} судебной практике и {своё мнение|своём мнении} относительно событий правовой тематики. Ситуация с распространением коронавирусной инфекции продолжает развиваться. Количество заражённых растёт, а власти пытаются сдерживать этот процесс, вводя различные ограничительные меры. При этом сложилась крайне опасная ситуация в исправительных учреждениях и следственных изоляторах. По определению, в указанных заведениях невозможно обеспечить необходимый уровень мероприятий по сдерживанию распространения {COVID | Ковид} - {19 | девятнадцать} . Игнорирование данной проблемы может повлечь не только массовые вспышки заболеваний среди заключённых и следственно-арестованных, но и различные формы недовольства среди них. Одним из решений назревшей, а возможно уже и перезревшей проблемы может быть широкая амнистия в связи с {75-летием | семидесятипятилетием | ~семидесяти пятилетием} Победы. Об этом я неоднократно говорил в своих видео, приводил позицию различных общественных организаций, предлагал подписать соответствующую петицию новой газеты и {требования|требование} партии Яблоко. Однако несмотря на сложившуюся обстановку, представители властных органов либо отмалчиваются, либо делают заявления, противоречащие здравому смыслу. Так, на днях глава комитета Государственной Думы по законодательству Павел {Крошенинников|Крашенинников} заявил, что амнистии к {75-летию | семидесятипятилетию | ~семидесяти пятилетию} победы в {Великой Отечественной войне|ВОВ} не будет. Якобы, в Думе нет проработанных текстов, а амнистия не может объявляться под {копир|копирку} . Якобы, люди не должны надеяться на амнистию, совершая {преступление|преступления} . Всем понятно, что государственные деятели давно оторвались от жизненных реалий и витают в облаках своей значимости. Остаётся надеяться, что люди, действительно принимающие решения, не разделяют абсурдности взглядов господина {Крошенинникова|Крашенинникова} . Что же касается отсутствия проработанных законопроектов, то такое заявление не менее {надумано|~надуманно} , чем {предыдущие|предыдущее} . Государственная Дума, которая - не место для дискуссий, в кратчайшие сроки принимала и значительно более сложные законопроекты. Иногда такой <*>"
multivariant-v2-custom,13,"Здравствуйте, уважаемые зрители и слушатели! Предлагаю вам гороскоп на неделю с {18 | восемнадцатого|18-го} по {24| двадцать четвёртое|24-е} апреля {2022 | две тыщи двадцать второго | две тысячи двадцать второго} года. Подписывайтесь, ставьте колокольчик, если зашли впервые. Также приглашаю вас в мой {Фейсбук | Facebook} , {Инстаграм | Instagram} и {Телеграм | Telegram} , ссылки на социальные сети, контакты для записи на {консультации|консультацию} по вопросам обучения на главной странице канала и в закрепленном комментарии. Неделя начинается с напряжения Солнца с Плутоном, поэтому для серьёзных дел, встреч с влиятельными людьми, понедельник {18|18-е | восемнадцатое} апреля неблагоприятен. День достаточно сложный. Чтобы добиться успеха, проникнуть в суть вещей, повернуть ход ситуации в свою пользу требуется сила воли, выносливость и упорство, а эти качества есть далеко не у всех. Не раскрывайте свои планы, но и не злоупотребляйте доверием.
  Главное событие недели – ингрессия Солнца в знак Тельца {20 | двадцатого|20-го} апреля в {5:25|5 утра 25 минут|пять утра 25 минут|5 утра двадцать пять минут|пять утра двадцать пять минут} . С этого дня фон событий резко меняется, в ближайший месяц люди становятся рассудительнее, спокойнее реагируют на всё, что происходит вокруг. Начинается период финансовой стабилизации, в социально-экономическом секторе наблюдается прогресс. {24 | двадцать четвёртого|24-го} апреля напряжение Меркурий-Сатурн: техника ломается, допускаются ошибки, открытые конфронтации, необдуманные поступки и {нарушения|нарушение} концентрации внимания {препятствуют|препятствует} созданию стратегического плана достижения целей. Информация, идеи и методы могут показаться интересными и ценными, но попытки применить их окажутся неудачными или будут прекращены из-за каких-либо ограничений. Далее по лунным дням. Понедельник, {18 | восемнадцатое|18-е} апреля. Убывающая луна в Скорпионе соединяется с Южным узлом, поднимает кармические темы. Многие почувствуют сильное влияние рода на свою жизнь. Для всех из нас жизнь складывается из кармы, отношений с родителями, опыта настоящей жизни и родовых программ. У кого-то последние проявлены явно, кто-то {может}"
multivariant-v2-custom,70,"Кошелек <*>, модель не помню, {Spartan|Спартан} по-моему, {сделана|сделано} в Тайване. Кошельку уже {5 | пять} лет, здесь {одно | 1} отделение под липучкой и {два | 2} открытых отделения, {одно | 1} для мелких денег, другое под липучкой для более крупных, и есть ещё отделение вот, оно глубокое, до самого конца доходит здесь кошелька, здесь {два | 2} кармашка для разной {мелочёвки|мелочовки} там, чеки, визитки, здесь инструкция от ножа, здесь под липучкой переходник, монетка, которую прислали китайцы и переходник для {сим | SIM} - карты, здесь карточки, карточки и пропуск. Функциональное отделение, {ничего|ничё} не потерлось, кевлар хороший, {вот,} {сделано|сделан} добротно, ни разу не стирал, надо будет его как-то отдать в химчистку, липучки за {5 | пять} лет вообще в идеальном состоянии, пользуюсь каждый день им, практически ничего не растянулось."
multivariant-v2-custom,5,"Обычно мы без особой охоты ходим к гинекологу. Разве что когда выхода нет. А на приеме вроде как и хотели бы задать какие-то вопросы, но стесняемся. Сегодня разберёмся в {четырех | 4} из них. Какая продолжительность менструального цикла является нормой? Почему-то бытует мнение, что цикл длится {26 | двадцать шесть} - {28 | двадцать восемь} дней, а все отклонения от этих сроков – {нарушение|нарушения} нормы. Главный показатель, что с вашей репродуктивной системой всё в порядке. Не длительность цикла, а его регулярность. То есть от начала менструации до начала следующей проходит примерно одинаковое количество суток.   {Плюс-минус|±|+-} {один | 1} - {три | 3} дня. В норме промежуток между месячными составляет от {21 | двадцати одного} до {35 | тридцати пяти} суток, с допуском в {один | 1} - {три | 3} дня. Не {является|являются} отклонением от нормы однократные пропуски {одного | 1} цикла, но не систематические задержки. Если продолжительность цикла имеет выраженные колебания, к примеру {21 | двадцать один} , {35 | тридцать пять} , {24 | двадцать четыре} , {42 | сорок два} , {23 | двадцать три} дня – это уже не норма. Пора идти к гинекологу. Обычно объем менструации составляет около {80 | восьмидесяти} {мл | миллилитров} . Но иногда месячные с самого начала бывают обильными без какой-либо причины. И в этом случае важно изменение именно обильности менструации. Если до какого-то момента выделения были умеренные, а потом внезапно стали обильными – это тоже повод обратиться к врачу. Если менструации были обильными, а потом стали умеренными – поищите причину в своем режиме. Возможно, вы стали иначе питаться, похудели, стали заниматься спортом или пережили стресс. Регулярность {в} половой жизни и даже смена климата также могут повлиять на интенсивность выделений. {А} влияет ли <*> переохлаждение на женский организм? Помните, мама вам советовала не сидеть на холодном, чтобы не застудить придатки? Наверняка вы наслушались этих советов, подкреплённых вручением теплых штанов с начёсом. Так вот, просто от переохлаждения придатки воспалиться не могут. Потому что любое воспаление такого рода в {90%|90 %|90 процентах|~90 процентов|девяноста %|девяноста процентах|~девяноста процентов|~девяносто %|~девяносто процентах|~девяносто процентов} случаев вызывается заболеваниями, передающимися половым путем."
multivariant-v2-custom,75,"Мастер, скажите пожалуйста, {а} каким образом найти предназначение в жизни? Как понять, чем мы должны заниматься? Предназначение – это очень важный аспект, и большинство людей ищут его во внешнем мире. Если мы говорим о йоге, вообще вся наша задача сейчас раскрыть, что есть путь, {да,} человеческой жизни, что есть путь вообще человека в человеческой жизни. Мы ведь пришли сюда из других миров, проще говоря, {да,} и, соответственно, для чего мы пришли? Зачем мы вообще здесь родились? С какой целью эта душа обрела дживу? С какой целью эта атма стала дживатной? {Это} {вот} это и есть предназначение. Но наше эго, система, в которой мы находимся, практически переключает это высокое знание и делает его более примитивным. И говорят, что предназначение в жизни – это быть врачом, быть музыкантом, быть ещё кем-то. По сути, люди забывают, что они сразу являются всем. Каждый ребенок, <*> который рождается, он рождается с определёнными качествами. Он может быть целителем, потому что его каналы чистые, если он их потом не засорит. Он может быть искусным художником, поэтом, музыкантом. Действительно может быть всем, потому что он Бог, потому что в нас есть все качества. И моё глубокое понимание этого вопроса: предназначение человека - раскрыть в себе божественность. Для чего? Для того, чтобы одухотворить материальную природу, для того, чтобы то, где мы находимся, стало божественным. И вот таким образом творец допознаёт себя через каждого из нас. Это высочайшее предназначение, это цель жизни – понять, кто мы на самом деле. <*> говорил о том, что есть {три | 3} вопроса: откуда мы пришли, кто мы сейчас и куда уйдём потом."
multivariant-v2-custom,68,"Привет! В этом видео я расскажу о том, как будет проходить консультация, на которой мы разберем вашу ситуацию, что мы будем делать, чего не будем делать и для чего она нужна. Я могу с твёрдой уверенностью сказать, что если вы готовы вкладывать силы и ресурсы для того, чтобы изменить ситуацию в свою пользу, она точно изменится. Всё о том, как вернуть мужчину. Дмитрий {Норман|Норманн} . Консультация начинается с разбора вашей истории. Вы мне рассказываете её так, как считаете нужным, и говорите о том, что по вашему мнению является самым важным. Часто уже на этом этапе можно понять и предположить, в какую же сторону были перекосы в отношениях и что же на самом деле произошло. Дальше, для получения дополнительной информации я буду уточнять всё, что необходимо для того, чтобы диагностировать проблему, понять с чего всё началось, пересмотреть как минимум последний год отношений и открыть вам глаза на происходящее в этот период. Часто женщина находясь в зависимости не замечает того, что у неё происходит прямо под носом, и отрицает очевидные вещи. {А} этот этап очень важный и занимает большую часть времени, так как от правильной диагностики зависит и то, какую стратегию мы с вами выберем. Более чем в {80 процентах|восьмидесяти процентах|~80 процентов|~восьмидесяти процентов|восьмидесяти %|80 %|80%} случаев сама женщина неправильно воспринимает происходящее. Бывает такое, что женщина приходит с запросом ""я абьюзер, как мне вернуть мужчину"", но на самом деле оказывается она настолько унизилась в отношениях, что при желании мужа уйти начала ещё больше заниматься самобичеванием и имеет абсолютную уверенность, что ей нужно стать ещё лучше, чтобы муж вернулся, хотя это будет только ухудшать её позиции. Бывает наоборот. Женщина была в сильной позиции в отношениях, затюкала мужа, он сбежал, а она уверена, что это он такой гад, не оценил её заботы и любви и что теперь нужно его игнорить по полной и угрожать разводом, усиливая давление, чтобы он осознал, каким же был дураком."
multivariant-v2-custom,83,"Друзья, всем привет, у нас вернулась зима, идёт снег. А я решил съездить в магазин для того чтобы купить деталек для изготовления простой и полезной… Магазин отменяется, но ненадолго. Будем модернизировать обувь. Для первого варианта понадобится клей и что-то сыпучее, например, сода или песок. Капаем на выступающие части протектора клей и посыпаем сыпучкой. Повторяем несколько раз. Получаются шероховатые бугорки. Для второго варианта возьмём наждачную бумагу. Я взял вот такую круглую, {клеим|~клеем} на наждачку двусторонний скотч. Лишнее обрезаем и далее {клеим|~клеем} на подошву. Далее идём тестировать. Друзья, по ощущениям меньше скользит наждачка. Но и с вариантом клея и соды тоже чувствуется, что есть толк. Получается, если хотите немного улучшить антискользящие свойства обуви, то подойдёт вариант с клеем и содой. Вариант эстетически более пригоден, так как практически {не заметно|~незаметно} никаких внешних изменений. По мере стирания соды, процедуру нанесения повторить и пользоваться дальше. Если {стоит задача | ставить задачу} как можно меньше скользить, и {неважно|~не важно} как это будет выглядеть, то подойдёт вариант с наждачкой. А теперь хочу попробовать изготовить вариант супер {нескользящий|~не скользящий} . Для этого возьму фанеру и начерчу на ней контуры обуви."
multivariant-v2-custom,86,"{Блин,} я не знаю, слишком много на меня ответственности. {Я…} `у меня паранойя. Я боюсь выйти на улицу, потому что я боюсь {то,} что я потеряю камни чудес. Это катастрофа. {Ну} ладно. Скорее всего, у меня просто паранойя. Но если <*> доберётся до моей шкатулки, {это будет…} это будет настоящая катастрофа. Надеюсь, я не сделаю ошибку большую. {Я…} {я…} я боюсь, мне страшно. Ладно. Нора! Нет, не Нора. Стану Клевером. Будет легче. {Клифф|Клиф|Клив} , распусти лепестки. <*> улучшаюсь. Тук тук тук {тук} {тук} , парнишка. А, ой. <*> Починишь <*> потом. Да, {да,} {починю | починим} , конечно. У меня к тебе срочная миссия. <*> У меня к тебе очень срочная миссия. Это камень чудес чёрного кота, <*> силой разрушения, используй во благо. Ты будешь владельцем кота чудес, пока мы не разберёмся с <*>. У тебя будет {два | 2} <*> Но будь в курсе: нельзя, чтобы люди знали {то, что ты…} {то, что ты…} {и…} то, что ты {и} собака. Что чёрный кот и собака это один и тот же человек. Вы должны быть двое разными. Ты должен использовать, когда <*> собакой, {а} когда <*> собакой. Чаще всего, ты должен появляться как кот. Понял меня? Да. Всё. И ещё появится новый мистер <*> новый владелец <*> будь в курсе. Серьезно? Да. Так, получается, ты… Ладно. {Такс|Так-с} . {Поеду…} пойду, найду эту девочку. Она работает на магазине Украина. Привет. Как дела? <*> А как тебя зовут? А, Вика. Вика, я дарую тебе один из талисманов. А? Этот. {Ай|Ой|} Вика, проснись. Это камень чудес <*>"
multivariant-v2-custom,25,"Всем привет, вы на канале "" {как} заработать в интернете"", сегодня у меня на обзоре кран {Solano|Solana|Salana|Salano|Солано|Солана|Салана|Салано} , на этом кране можно зарабатывать криптовалюту {Solano|Solana|Salana|Salano|Солано|Солана|Салана|Салано} . Есть подобный кран, на котором можно зарабатывать {TRX|ТРХ|ТР Икс} . Я думаю {этот|это} один и тот же <*>. С данного крана я выводил уже {вот} почти {19 | девятнадцать} {TRX|ТРХ|ТР Икс} месяц назад, и если мы посмотрим по посещаемости, работает он {два|2} месяца и посещаемость за {последний месяц|последние месяцы} - {полтора миллиона|1.5 миллиона|1500000|1,500,000} людей заходило на данный сайт. Это копия того же сайта, который я вам только что показал, здесь при регистрации нам дают {10 | десять} бонусных сборов и также мы целый день можем собирать удвоенную прибыль, заходя на данный сайт, кран {один | 1} раз в час. И нам {будут|будет} выпадать не {пять тысяч|5000|5 тысяч|5,000} {Solano|Solana|Salana|Salano|Солано|Солана|Салана|Салано} , а {десять тысяч|10000|10 тысяч|10,000} . И вот, бонусные сборы здесь есть, здесь {ни|~не} {капчи | captcha} , ничего, {икс 24|икс двадцать четыре|X 24|X24|X двадцать четыре} , нам дают это на {24 | двадцать четыре} часа. И вот она прибыль идёт. {Десять | 10} раз мы можем так собрать. Если мы посмотрим выводы денег с данного сайта, вот здесь есть доказательства, здесь {вот} люди выводят, всё классно, кран платит, можно это всё проверить, перейдя по ссылке. Также в данном кране есть партнёрская программа, вы будете зарабатывать {5 процентов|пять процентов|пять %|5 %|5%} от сбора с крана вашим другом {и|или} {ноль четыре процента|ноль четыре процента|ноль четыре %|0.4 процента|0.4 процента|0.4 %|0.4%} будете зарабатывать играя в игры. Также здесь Можно повысить уровень, например до {iron|айрон} или же {бронза|бронзу|bronze} , чтобы его повысить {и} здесь {вот} все условия расписаны на данном сайте. Кому данный кран интересен, ссылку я оставлю в описании. Переходите, регистрируйтесь и зарабатывайте деньги без вложений."
